ruta,xkoordsw,ykoordsw,cl1_sum,cl2_sum,cl3_sum,cl4_sum,cl5_sum,cl6_sum,cl7_sum,cl8_sum,cl9_sum,cl10_sum,cl11_sum,cl12_sum,cl13_sum,cl14_sum,cl15_sum,cl16_sum,cl17_sum,cl18_sum,cl19_sum,cl20_sum,cl21_sum,cl22_sum,cl23_sum,cl24_sum,cl25_sum,cl26_sum,cl27_sum,cl28_sum,cl29_sum,cl30_sum,cl31_sum,cl32_sum,cl33_sum,cl34_sum,cl35_sum,cl36_sum,cl37_sum,cl38_sum,cl39_sum,cl40_sum,population2019,Column 45
250,6144000,425750,5,3,4,3,6,6,2,6,1,3,8,7,3,4,3,6,4,5,6,0,6,7,5,4,4,3,3,7,3,3,5,6,6,3,5,3,3,5,6,5,178,177
250,6144000,432500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3
1000,6144000,438000,0,0,0,0,0,1,1,2,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,10,14
250,6144000,444000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8,6
250,6144500,393750,1,3,1,0,2,2,0,2,1,1,2,1,4,0,2,2,4,1,1,4,1,5,4,4,2,2,1,2,1,2,0,1,1,0,2,3,2,2,0,1,71,70
1000,6145000,386000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,4
1000,6145000,396000,0,2,1,4,4,1,0,1,1,0,4,2,0,2,2,1,1,2,6,4,3,1,0,1,1,2,3,2,1,1,4,2,1,1,2,3,1,1,1,0,64,69
250,6145000,438250,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
250,6145500,438250,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,10,6
1000,6146000,376000,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,14,11
1000,6146000,416000,0,0,3,0,1,1,2,0,1,1,1,1,1,0,0,0,1,2,0,1,0,2,0,3,1,0,0,0,2,0,0,1,2,2,1,0,1,1,3,2,38,37
1000,6146000,434000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,4
1000,6146000,450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,4,3
250,6146250,426750,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,10,8
250,6146250,448750,0,0,0,0,0,1,1,3,0,1,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,2,1,1,1,2,0,0,2,1,2,0,21,27
250,6146500,432500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,5
250,6146750,375000,1,1,0,1,0,0,0,1,0,0,2,1,0,0,1,0,1,0,0,0,2,2,0,0,1,0,2,2,0,1,0,1,0,2,0,1,0,1,1,0,26,25
250,6146750,386500,0,2,0,1,4,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,3,1,0,0,0,22,21
250,6146750,413750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1000,6147000,409000,1,0,1,1,0,2,1,0,0,2,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,2,1,1,0,28,21
250,6147250,374750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2
250,6147750,453750,1,3,1,2,3,1,1,1,3,2,3,1,1,2,4,2,0,4,2,3,0,1,2,3,2,4,1,3,0,0,1,0,2,0,0,1,1,2,1,0,62,64
250,6148000,381750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
1000,6148000,400000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2
250,6148000,405750,1,2,0,1,1,1,1,1,1,4,1,1,2,0,2,2,0,0,2,6,0,0,2,1,3,1,1,3,0,1,0,2,1,1,1,0,5,1,1,3,64,56
250,6148000,406500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
250,6148000,428500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3
1000,6148000,435000,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,7,8
250,6148500,411500,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
250,6149000,374250,2,4,3,1,3,2,5,2,2,3,2,2,2,2,5,1,4,2,0,4,3,6,4,0,0,3,2,3,1,4,1,1,2,1,3,1,3,0,2,6,96,97
1000,6149000,377000,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,8,5
1000,6149000,402000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
1000,6149000,408000,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,2,0,0,2,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,25,18
1000,6149000,448000,1,0,1,0,0,1,1,4,0,1,1,0,0,1,1,0,0,1,0,1,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,13,19
250,6149500,405000,3,4,3,9,3,1,2,3,2,6,2,5,2,2,2,3,4,3,2,6,2,2,3,4,3,2,3,3,2,4,1,2,4,4,0,3,3,5,5,2,114,124
250,6149750,382000,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,5
1000,6150000,382000,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,14,13
1000,6150000,400000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,4,5
250,6150000,404500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1000,6150000,450000,3,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,1,1,0,1,1,1,0,13,18
1000,6150000,455000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
1000,6150000,456000,0,1,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,7,11
250,6150250,404750,0,2,1,0,0,0,2,1,2,0,1,0,2,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,31,23
250,6150250,405000,0,3,2,1,0,1,1,0,0,1,1,1,3,0,1,6,1,1,2,1,2,1,2,0,0,1,1,1,4,0,1,1,2,1,0,1,0,2,0,1,52,47
250,6150250,445500,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
250,6150750,445750,1,0,0,2,0,0,0,0,0,0,0,2,1,1,1,1,2,0,0,1,1,1,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,1,26,21
1000,6151000,382000,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,10,8
1000,6151000,415000,2,1,1,2,2,0,3,1,1,0,3,1,1,0,1,0,1,1,2,2,1,2,0,2,1,2,3,2,2,1,1,2,2,2,2,0,3,3,1,0,44,57
1000,6151000,437000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
1000,6151000,447000,0,0,1,0,0,1,0,0,0,0,0,0,1,3,2,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,16,15
250,6151500,387750,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
250,6151500,388750,3,1,1,0,1,1,2,1,1,4,3,3,2,0,1,1,4,1,1,1,1,2,0,2,0,1,2,3,4,1,4,3,5,2,3,3,6,3,4,0,73,81
250,6151500,424000,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,11,11
250,6151750,380500,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5
250,6151750,389000,1,0,0,1,0,2,1,1,0,3,1,2,2,1,3,0,0,1,1,0,1,1,2,2,3,0,0,2,2,2,2,2,2,3,0,1,1,2,0,1,52,49
250,6152000,370500,0,0,1,0,0,3,0,2,0,1,1,1,2,1,0,1,1,1,1,2,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,24
250,6152000,386250,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,6
1000,6152000,449000,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10,11
250,6152000,458750,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,2,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,14,13
250,6152250,380000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,4,5
250,6152250,386250,0,1,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,17,15
250,6152250,458750,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,12,8
1000,6153000,369000,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,15,10
1000,6153000,373000,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,5
1000,6153000,377000,1,0,0,1,2,0,1,0,0,0,1,0,0,2,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,3,1,0,0,0,0,1,3,1,0,1,17,25
250,6153250,387000,3,4,6,3,2,4,1,6,1,4,4,3,0,5,4,1,2,3,2,3,3,1,0,5,5,1,2,2,3,1,4,8,4,5,3,4,2,2,4,2,114,122
250,6153500,388500,1,2,2,4,1,1,1,2,2,1,2,3,3,1,0,1,3,1,2,1,1,3,0,2,5,3,2,4,0,4,5,1,1,2,3,2,7,1,0,0,80,80
1000,6154000,370000,0,0,3,1,1,1,0,0,2,2,1,1,1,0,2,0,1,1,0,2,0,4,0,0,1,1,0,0,2,1,1,0,3,3,2,1,0,0,0,0,29,38
1000,6154000,372000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,6,7
1000,6154000,382000,1,2,3,3,1,1,2,1,1,1,3,1,0,1,1,2,0,1,1,0,2,0,1,1,1,0,1,2,2,1,1,1,0,3,0,2,0,2,1,1,30,48
